"price","nox","rooms","dist","stratio"
20200,7.13000011444092,6.51000022888184,2.79999995231628,20.2000007629395
7200,7,5.28000020980835,1.42999994754791,20.2000007629395
11900,6.59000015258789,4.1399998664856,NA,20.2000007629395
50001,6.30999994277954,6.67999982833862,1.36000001430511,20.2000007629395
16500,5.17999982833862,NA,6.26999998092651,15.8999996185303
22900,5.23999977111816,6.01000022888184,5.55999994277954,15.1999998092651
10200,6.71000003814697,6.21999979019165,NA,20.2000007629395
24499,4.30999994277954,6.42999982833862,7.82999992370605,19.1000003814697
41702,5.07000017166138,8.34000015258789,3.83999991416931,17.3999996185303
12600,7.40000009536743,6.25,NA,20.2000007629395
19100,5.84000015258789,6,2.53999996185303,20.2000007629395
24299,6.05000019073486,6.07000017166138,1.75999999046326,14.6999998092651
23200,7,6.05000019073486,2.17000007629395,20.2000007629395
23200,4.05000019073486,NA,7.32000017166138,16.6000003814697
23100,4.92999982833862,6.38000011444092,4.53999996185303,19.6000003814697
21800,5.32000017166138,5.76000022888184,4.09999990463257,20.2000007629395
11700,7.13000011444092,6.21000003814697,2.22000002861023,20.2000007629395
24999,4.92999982833862,NA,4.71999979019165,19.6000003814697
22099,5.44000005722046,6.11999988555908,2.64000010490417,18.3999996185303
17600,4.30999994277954,5.59000015258789,NA,19.1000003814697
21400,6.1399998664856,6.23000001907349,1.95000004768372,20.2000007629395
23300,4.28000020980835,NA,6.19000005722046,16.6000003814697
44802,5.03999996185303,8.27000045776367,2.89000010490417,17.3999996185303
21000,5.38000011444092,6.67000007629395,4.23000001907349,21
19300,4.48000001907349,5.67999982833862,5.09999990463257,17.8999996185303
18900,5.23999977111816,6,6.59000015258789,15.1999998092651
29599,4.30999994277954,6.96000003814697,8.90999984741211,19.1000003814697
11000,6.78999996185303,6.19000005722046,1.94000005722046,20.2000007629395
19400,4.38000011444092,6.03000020980835,7.26999998092651,16.8999996185303
20400,5.19999980926514,NA,2.11999988555908,20.8999996185303
20500,4.30999994277954,6.23000001907349,8.0600004196167,19.1000003814697
20548,5.15000009536743,6.05999994277954,4.80999994277954,20.2000007629395
10500,7.40000009536743,5.82000017166138,NA,20.2000007629395
37900,4.88000011444092,7.15000009536743,NA,17.7999992370605
20000,4.48000001907349,5.78999996185303,5.09999990463257,17.8999996185303
24999,4.8899998664856,6.17999982833862,3.95000004768372,18.6000003814697
32000,4.36999988555908,6.78000020980835,3.78999996185303,15.1999998092651
20600,4.13000011444092,5.94000005722046,10.5900001525879,22
20100,6.09000015258789,5.98000001907349,2.10999989509583,20.1000003814697
24999,7.69999980926514,6.40000009536743,2.51999998092651,20.2000007629395
19100,6.05000019073486,5.88000011444092,2.39000010490417,14.6999998092651
36199,4.57999992370605,7.15000009536743,6.05999994277954,18.7000007629395
32778,4.42000007629395,7.23999977111816,7.03999996185303,15.5
8300,6.92999982833862,5.34999990463257,1.70000004768372,20.2000007629395
22600,5.09999990463257,5.8600001335144,2.70000004768372,16.6000003814697
5600,6.92999982833862,5.98999977111816,1.5900000333786,20.2000007629395
21900,3.92000007629395,6.1100001335144,9.22000026702881,16.3999996185303
23300,8.71000003814697,6.51000022888184,1.76999998092651,14.6999998092651
32562,4.1100001335144,6.82000017166138,8.31999969482422,19.7000007629395
11900,5.73000001907349,6.03000020980835,2.50999999046326,21
23100,5.09999990463257,5.57000017166138,2.59999990463257,16.6000003814697
16800,7.69999980926514,5.80000019073486,NA,20.2000007629395
20700,4.6399998664856,5.92000007629395,3.92000007629395,18.6000003814697
13400,7.13000011444092,6.75,2.3199999332428,20.2000007629395
17200,5.96999979019165,6.65999984741211,1.52999997138977,20.2000007629395
